  locus,   size,  type,      raw,      pM,     pKM,"	gene", product,,,,,,,,,,,,,,,,,,,,
PROKKA_00009,948, antis,4,0.73,0.77,,,,,,,0,0,0,"	glyQ",,,,,"	glyQ",,"	glyQ",,,,,
PROKKA_00010,104, igtop,6,1.1,10.57,,,,,,,"	tag_1",0,0,0,,"	tag_1",,,,,"	tag_1",,,,,
PROKKA_00010,104, igbot,0,0,0,,,,,,,0,"	tag_1",0,0,,,"	tag_1",,,,"	tag_1",,,,,
PROKKA_00010,552, sense,33,6.04,10.95,"	tag_1"," ""DNA-3-methyladenine glycosidase I""",,,,,0,0,"	tag_1",0,,,,"	tag_1",,,"	tag_1",,,,,
PROKKA_00010,552, antis,0,0,0,,,,,,,0,0,0,"	tag_1",,,,,"	tag_1",,"	tag_1",,,,,
PROKKA_00011,143, igtop,53,9.71,67.88,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00011,143, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00011,888, sense,686,125.64,141.48,"	n/a","  ""2-OH-lauroyltransferase""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00011,888, antis,24,4.4,4.95,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00012,84, igtop,163,29.85,355.39,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00012,84, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00012,267, sense,80,14.65,54.88,"	n/a","  ""type IV pilus assembly PilZ""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00012,267, antis,5,0.92,3.43,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00013,146, igtop,25,4.58,31.36,,,,,,,"	yhhQ",0,0,0,,"	yhhQ",,,,,"	yhhQ",,,,,
PROKKA_00013,146, igbot,1,0.18,1.25,,,,,,,0,"	yhhQ",0,0,,,"	yhhQ",,,,"	yhhQ",,,,,
PROKKA_00013,654, sense,63,11.54,17.64,"	yhhQ"," ""Inner membrane protein YhhQ""",,,,,0,0,"	yhhQ",0,,,,"	yhhQ",,,"	yhhQ",,,,,
PROKKA_00013,654, antis,12,2.2,3.36,,,,,,,0,0,0,"	yhhQ",,,,,"	yhhQ",,"	yhhQ",,,,,
PROKKA_00014,61, igtop,1,0.18,3,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00014,61, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00014,273, sense,4,0.73,2.68,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00014,273, antis,7,1.28,4.7,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00015,292, igtop,2,0.37,1.25,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00015,292, igbot,21,3.85,13.17,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00015,318, sense,18,3.3,10.37,"	n/a","  ""putative tetratricopeptide repeat domain protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00015,318, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00016,148, igtop,1,0.18,1.24,,,,,,,"	trkA",0,0,0,,"	trkA",,,,,"	trkA",,,,,
PROKKA_00016,148, igbot,20,3.66,24.75,,,,,,,0,"	trkA",0,0,,,"	trkA",,,,"	trkA",,,,,
PROKKA_00016,1374, sense,218,39.93,29.06,"	trkA"," ""potassium uptake protein TrkA""",,,,,0,0,"	trkA",0,,,,"	trkA",,,"	trkA",,,,,
PROKKA_00016,1374, antis,7,1.28,0.93,,,,,,,0,0,0,"	trkA",,,,,"	trkA",,"	trkA",,,,,
PROKKA_00017,27, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00017,27, igbot,5,0.92,33.92,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00017,1305, sense,81,14.83,11.37,"	n/a","  ""putative tRNA and rRNA cytosine-C5-methylases""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00017,1305, antis,1,0.18,0.14,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00018,4, igtop,0,0,0,,,,,,,"	fmt",0,0,0,,"	fmt",,,,,"	fmt",,,,,
PROKKA_00018,4, igbot,0,0,0,,,,,,,0,"	fmt",0,0,,,"	fmt",,,,"	fmt",,,,,
PROKKA_00018,945, sense,78,14.29,15.12,"	fmt","  ""methionyl-tRNA formyltransferase""",,,,,0,0,"	fmt",0,,,,"	fmt",,,"	fmt",,,,,
PROKKA_00018,945, antis,0,0,0,,,,,,,0,0,0,"	fmt",,,,,"	fmt",,"	fmt",,,,,
PROKKA_00019,54, igtop,0,0,0,,,,,,,"	def_1",0,0,0,,"	def_1",,,,,"	def_1",,,,,
PROKKA_00019,54, igbot,1,0.18,3.39,,,,,,,0,"	def_1",0,0,,,"	def_1",,,,"	def_1",,,,,
PROKKA_00019,507, sense,785,143.77,283.57,"	def_1"," ""polypeptide deformylase""",,,,,0,0,"	def_1",0,,,,"	def_1",,,"	def_1",,,,,
PROKKA_00019,507, antis,5,0.92,1.81,,,,,,,0,0,0,"	def_1",,,,,"	def_1",,"	def_1",,,,,
PROKKA_00020,138, igtop,69,12.64,91.57,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00020,138, igbot,182,33.33,241.54,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00020,1026, sense,302,55.31,53.91,"	n/a","  ""putative lysin domain protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00020,1026, antis,2,0.37,0.36,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00021,134, igtop,1,0.18,1.37,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00021,134, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00021,1089, sense,0,0,0,"	n/a","  ""putative Rossmann fold nucleotide-binding protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00021,1089, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00022,40, igtop,76,13.92,347.98,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00022,40, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00022,558, sense,18,3.3,5.91,"	n/a","  ""putative translation factor""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00022,558, antis,4,0.73,1.31,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00023,9, igtop,0,0,0,,,,,,,"	qor_1",0,0,0,,"	qor_1",,,,,"	qor_1",,,,,
PROKKA_00023,9, igbot,2,0.37,40.7,,,,,,,0,"	qor_1",0,0,,,"	qor_1",,,,"	qor_1",,,,,
PROKKA_00023,978, sense,13,2.38,2.43,"	qor_1"," ""quinone oxidoreductase""",,,,,0,0,"	qor_1",0,,,,"	qor_1",,,"	qor_1",,,,,
PROKKA_00023,978, antis,10,1.83,1.87,,,,,,,0,0,0,"	qor_1",,,,,"	qor_1",,"	qor_1",,,,,
PROKKA_00024,190, igtop,5,0.92,4.82,,,,,,,"	hemF",0,0,0,,"	hemF",,,,,"	hemF",,,,,
PROKKA_00024,190, igbot,0,0,0,,,,,,,0,"	hemF",0,0,,,"	hemF",,,,"	hemF",,,,,
PROKKA_00024,918, sense,103,18.86,20.55,"	hemF"," ""coproporphyrinogen III oxidase"," aerobic""",,,,0,0,"	hemF",0,,,,"	hemF",,,"	hemF",,,,,
PROKKA_00024,918, antis,6,1.1,1.2,,,,,,,0,0,0,"	hemF",,,,,"	hemF",,"	hemF",,,,,
PROKKA_00025,57, igtop,1,0.18,3.21,,,,,,,"	aroE_1",0,0,0,,"	aroE_1",,,,,"	aroE_1",,,,,
PROKKA_00025,57, igbot,1,0.18,3.21,,,,,,,0,"	aroE_1",0,0,,,"	aroE_1",,,,"	aroE_1",,,,,
PROKKA_00025,825, sense,24,4.4,5.33,"	aroE_1"," ""shikimate dehydrogenase""",,,,,0,0,"	aroE_1",0,,,,"	aroE_1",,,"	aroE_1",,,,,
PROKKA_00025,825, antis,0,0,0,,,,,,,0,0,0,"	aroE_1",,,,,"	aroE_1",,"	aroE_1",,,,,
PROKKA_00026,110, igtop,10,1.83,16.65,,,,,,,"	plcB",0,0,0,,"	plcB",,,,,"	plcB",,,,,
PROKKA_00026,110, igbot,2,0.37,3.33,,,,,,,0,"	plcB",0,0,,,"	plcB",,,,"	plcB",,,,,
PROKKA_00026,987, sense,17,3.11,3.15,"	plcB"," ""phospholipase C"," PlcB""",,,,0,0,"	plcB",0,,,,"	plcB",,,"	plcB",,,,,
PROKKA_00026,987, antis,2,0.37,0.37,,,,,,,0,0,0,"	plcB",,,,,"	plcB",,"	plcB",,,,,
PROKKA_00027,20, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00027,20, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00027,1287, sense,5,0.92,0.71,"	n/a","  ""putative peptidyl-prolyl isomerase""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00027,1287, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00028,251, igtop,1,0.18,0.73,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00028,251, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00028,348, sense,0,0,0,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00028,348, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00029,3, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00029,3, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00029,1554, sense,2,0.37,0.24,"	n/a","  ""putative sulfate transporter""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00029,1554, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00030,4, igtop,0,0,0,,,,,,,"	cbcX_1",0,0,0,,"	cbcX_1",,,,,"	cbcX_1",,,,,
PROKKA_00030,4, igbot,0,0,0,,,,,,,0,"	cbcX_1",0,0,,,"	cbcX_1",,,,"	cbcX_1",,,,,
PROKKA_00030,924, sense,2,0.37,0.4,"	cbcX_1"," ""CbcX""",,,,,0,0,"	cbcX_1",0,,,,"	cbcX_1",,,"	cbcX_1",,,,,
PROKKA_00030,924, antis,1,0.18,0.2,,,,,,,0,0,0,"	cbcX_1",,,,,"	cbcX_1",,"	cbcX_1",,,,,
PROKKA_00031,16, igtop,0,0,0,,,,,,,"	betC_1",0,0,0,,"	betC_1",,,,,"	betC_1",,,,,
PROKKA_00031,16, igbot,0,0,0,,,,,,,0,"	betC_1",0,0,,,"	betC_1",,,,"	betC_1",,,,,
PROKKA_00031,1512, sense,8,1.47,0.97,"	betC_1"," ""choline sulfatase""",,,,,0,0,"	betC_1",0,,,,"	betC_1",,,"	betC_1",,,,,
PROKKA_00031,1512, antis,8,1.47,0.97,,,,,,,0,0,0,"	betC_1",,,,,"	betC_1",,"	betC_1",,,,,
PROKKA_00032,127, igtop,9,1.65,12.98,,,,,,,"	ampR_1",0,0,0,,"	ampR_1",,,,,"	ampR_1",,,,,
PROKKA_00032,127, igbot,0,0,0,,,,,,,0,"	ampR_1",0,0,,,"	ampR_1",,,,"	ampR_1",,,,,
PROKKA_00032,900, sense,12,2.2,2.44,"	ampR_1"," ""transcriptional regulator AmpR""",,,,,0,0,"	ampR_1",0,,,,"	ampR_1",,,"	ampR_1",,,,,
PROKKA_00032,900, antis,2,0.37,0.41,,,,,,,0,0,0,"	ampR_1",,,,,"	ampR_1",,"	ampR_1",,,,,
PROKKA_00033,10, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00033,10, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00033,378, sense,1,0.18,0.48,"	n/a","  ""dioxygenase""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00033,378, antis,0,0,0,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00034,22, igtop,0,0,0,,,,,,,"	hptC",0,0,0,,"	hptC",,,,,"	hptC",,,,,
PROKKA_00034,22, igbot,0,0,0,,,,,,,0,"	hptC",0,0,,,"	hptC",,,,"	hptC",,,,,
PROKKA_00034,366, sense,3,0.55,1.5,"	hptC"," ""Histidine phosphotransfer protein HptC""",,,,,0,0,"	hptC",0,,,,"	hptC",,,"	hptC",,,,,
PROKKA_00034,366, antis,2,0.37,1,,,,,,,0,0,0,"	hptC",,,,,"	hptC",,"	hptC",,,,,
PROKKA_00035,7, igtop,0,0,0,,,,,,,"	rocA2_1",0,0,0,,"	rocA2_1",,,,,"	rocA2_1",,,,,
PROKKA_00035,7, igbot,0,0,0,,,,,,,0,"	rocA2_1",0,0,,,"	rocA2_1",,,,"	rocA2_1",,,,,
PROKKA_00035,624, sense,6,1.1,1.76,"	rocA2_1"," ""Two-component response regulator"," RocA2""",,,,0,0,"	rocA2_1",0,,,,"	rocA2_1",,,"	rocA2_1",,,,,
PROKKA_00035,624, antis,26,4.76,7.63,,,,,,,0,0,0,"	rocA2_1",,,,,"	rocA2_1",,"	rocA2_1",,,,,
PROKKA_00036,185, igtop,0,0,0,,,,,,,"	trpA",0,0,0,,"	trpA",,,,,"	trpA",,,,,
PROKKA_00036,185, igbot,2,0.37,1.98,,,,,,,0,"	trpA",0,0,,,"	trpA",,,,"	trpA",,,,,
PROKKA_00036,807, sense,25,4.58,5.67,"	trpA"," ""tryptophan synthase alpha chain""",,,,,0,0,"	trpA",0,,,,"	trpA",,,"	trpA",,,,,
PROKKA_00036,807, antis,0,0,0,,,,,,,0,0,0,"	trpA",,,,,"	trpA",,"	trpA",,,,,
PROKKA_00037,4, igtop,0,0,0,,,,,,,"	trpB",0,0,0,,"	trpB",,,,,"	trpB",,,,,
PROKKA_00037,4, igbot,0,0,0,,,,,,,0,"	trpB",0,0,,,"	trpB",,,,"	trpB",,,,,
PROKKA_00037,1209, sense,191,34.98,28.93,"	trpB"," ""tryptophan synthase beta chain""",,,,,0,0,"	trpB",0,,,,"	trpB",,,"	trpB",,,,,
PROKKA_00037,1209, antis,12,2.2,1.82,,,,,,,0,0,0,"	trpB",,,,,"	trpB",,"	trpB",,,,,
PROKKA_00038,103, igtop,9,1.65,16,,,,,,,"	trpI_1",0,0,0,,"	trpI_1",,,,,"	trpI_1",,,,,
PROKKA_00038,103, igbot,0,0,0,,,,,,,0,"	trpI_1",0,0,,,"	trpI_1",,,,"	trpI_1",,,,,
PROKKA_00038,888, sense,16,2.93,3.3,"	trpI_1"," ""transcriptional regulator TrpI""",,,,,0,0,"	trpI_1",0,,,,"	trpI_1",,,"	trpI_1",,,,,
PROKKA_00038,888, antis,2,0.37,0.41,,,,,,,0,0,0,"	trpI_1",,,,,"	trpI_1",,"	trpI_1",,,,,
PROKKA_00039,100, igtop,32,5.86,58.61,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00039,100, igbot,1,0.18,1.83,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00039,216, sense,60,10.99,50.87,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00039,216, antis,2,0.37,1.7,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00040,189, igtop,1089,199.45,1055.27,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00040,189, igbot,7,1.28,6.78,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00040,222, sense,213,39.01,175.72,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00040,222, antis,2,0.37,1.65,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00041,296, igtop,13,2.38,8.04,,,,,,,"	cdrB_1",0,0,0,,"	cdrB_1",,,,,"	cdrB_1",,,,,
PROKKA_00041,296, igbot,8,1.47,4.95,,,,,,,0,"	cdrB_1",0,0,,,"	cdrB_1",,,,"	cdrB_1",,,,,
PROKKA_00041,1689, sense,5,0.92,0.54,"	cdrB_1"," ""cyclic diguanylate-regulated TPS partner B"," CdrB""",,,,0,0,"	cdrB_1",0,,,,"	cdrB_1",,,"	cdrB_1",,,,,
PROKKA_00041,1689, antis,0,0,0,,,,,,,0,0,0,"	cdrB_1",,,,,"	cdrB_1",,"	cdrB_1",,,,,
PROKKA_00042,112, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00042,112, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00042,11595, sense,1252,229.3,19.78,"	n/a","  ""putative hemagglutinin""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00042,11595, antis,46,8.42,0.73,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00043,1172, igtop,2366,433.32,369.73,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00043,1172, igbot,386,70.69,60.32,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00043,3267, sense,668,122.34,37.45,"	n/a","  ""filamentous hemagglutinin""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00043,3267, antis,148,27.11,8.3,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00044,579, igtop,226,41.39,71.49,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00044,579, igbot,1343,245.97,424.81,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00044,693, sense,2,0.37,0.53,"	n/a","  ""transposase-like protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00044,693, antis,3,0.55,0.79,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00045,1122, igtop,962,176.19,157.03,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00045,1122, igbot,121,22.16,19.75,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00045,156, sense,7,1.28,8.22,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00045,156, antis,9,1.65,10.57,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00046,197, igtop,4,0.73,3.72,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00046,197, igbot,1,0.18,0.93,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00046,396, sense,14,2.56,6.47,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00046,396, antis,1,0.18,0.46,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00047,270, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00047,270, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00047,1254, sense,2,0.37,0.29,"	n/a","  ""membrane protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00047,1254, antis,8,1.47,1.17,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00048,4, igtop,0,0,0,,,,,,,"	n/a",0,0,0,,"	n/a",,,,,"	n/a",,,,,
PROKKA_00048,4, igbot,0,0,0,,,,,,,0,"	n/a",0,0,,,"	n/a",,,,"	n/a",,,,,
PROKKA_00048,132, sense,1,0.18,1.39,"	n/a","  ""hypothetical protein""",,,,,0,0,"	n/a",0,,,,"	n/a",,,"	n/a",,,,,
PROKKA_00048,132, antis,1,0.18,1.39,,,,,,,0,0,0,"	n/a",,,,,"	n/a",,"	n/a",,,,,
PROKKA_00049,191, igtop,1,0.18,0.96,,,,,,,"	exoT",0,0,0,,"	exoT",,,,,"	exoT",,,,,
PROKKA_00049,191, igbot,9,1.65,8.63,,,,,,,0,"	exoT",0,0,,,"	exoT",,,,"	exoT",,,,,
PROKKA_00049,1374, sense,15,2.75,2,"	exoT"," ""exoenzyme T""",,,,,0,0,"	exoT",0,,,,"	exoT",,,"	exoT",,,,,
PROKKA_00049,1374, antis,4,0.73,0.53,,,,,,,0,0,0,"	exoT",,,,,"	exoT",,"	exoT",,,,,
