locus	log2FoldChange_25C	FoldChange_25	pvalue_25C	padj_25C	log2FoldChange_29C	FoldChange_29	pvalue_29C	padj_29C	log2FoldChange_33C	FoldChange_33	pvalue_33C	padj_33C	log2FoldChange_37C	FoldChange_37	pvalue_37C	padj_37C	log2FoldChange_41C	FoldChange_41	pvalue_41C	padj_41C	gene	product	locusNumber
PROKKA_00684_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.34981142031624	2.54878807191452	8.95882013755457e-06	0.00185617323786656	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00684
PROKKA_00685_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.74312967698648	-3.34760585755849	0.000803909587241538	0.0315060663845352	nusG	"transcription antitermination protein NusG"	PROKKA_00685
PROKKA_00696_antis	NA	NA	NA	NA	1.47075751275634	2.7716738710072	0.000205310787184272	0.0281781491489663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rpsG	"30S ribosomal protein S7"	PROKKA_00696
PROKKA_00697_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.63137517359764	3.09808166441835	1.41459699920352e-05	0.00259002841272775	NA	NA	NA	NA	fusA1	"elongation factor G"	PROKKA_00697
PROKKA_00699_antis	NA	NA	NA	NA	1.57586981173104	2.98115174342445	2.42530019527245e-07	0.000185888235875837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rpsJ	"30S ribosomal protein S10"	PROKKA_00699
PROKKA_00700_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.52758079467137	2.88301989924884	4.71899571766506e-05	0.00635328185743176	NA	NA	NA	NA	rplC	"50S ribosomal protein L3"	PROKKA_00700
PROKKA_00705_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62588101821744	3.08630580615759	0.000228295057850218	0.02292565412695	NA	NA	NA	NA	rplV	"50S ribosomal protein L22"	PROKKA_00705
PROKKA_00720_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.40801557382011	2.65371892780152	0.000529389223468944	0.0445637495042199	NA	NA	NA	NA	secY	"secretion protein SecY"	PROKKA_00720
PROKKA_00723_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.842582668214471	1.79325750447489	0.000545958068645499	0.023720088357107	rpsK	"30S ribosomal protein S11"	PROKKA_00723
PROKKA_00729_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.87300855405265	1.8314782320368	0.000421918883799049	0.0189983001285275	uvrA	"excinuclease ABC subunit A"	PROKKA_00729
PROKKA_00821_sense	NA	NA	NA	NA	NA	NA	NA	NA	2.05966972932915	4.16890856178591	2.49803739914973e-11	1.76561283371903e-08	1.07603775185262	2.10823801336807	0.000389920043182599	0.0352855229882368	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00821
PROKKA_00823_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.86409039498113	3.64038338477536	8.2514751898682e-07	0.000171533607770554	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00823
PROKKA_00833_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.58537886034771	-6.00173184089879	0.000136800972261782	0.0146501404840345	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00833
PROKKA_00834_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.5317964023376	-2.89145650885932	0.000186056904575815	0.0193389735520862	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative SPFH domain protein"	PROKKA_00834
PROKKA_00838_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.03553463736463	-2.04987315220248	2.81156482415738e-05	0.00177165336403276	prtR_2	"transcriptional regulator PrtR"	PROKKA_00838
PROKKA_00852_sense	NA	NA	NA	NA	NA	NA	NA	NA	-3.44881464181908	-10.9193467298204	2.0461818844329e-10	1.11249335070552e-07	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"Holin phage lambda"	PROKKA_00852
PROKKA_00853_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.6863347458681	-6.436760303896	2.80217469711903e-08	7.92230830369492e-06	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative chitinase; lytic protein"	PROKKA_00853
PROKKA_00854_sense	NA	NA	NA	NA	NA	NA	NA	NA	-3.28785319739643	-9.76657824470091	1.67541323000752e-08	5.14861769986658e-06	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"phage lysis regulatory protein LysB family"	PROKKA_00854
PROKKA_00855_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.32466260218764	-5.00948606730907	1.39794970891391e-12	1.9761417085207e-09	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"HNH endonuclease"	PROKKA_00855
PROKKA_00856_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.98292007408199	-3.95292360628996	1.48925310617131e-08	4.78456407019039e-06	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"phage terminase small subunit"	PROKKA_00856
PROKKA_00857_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.26592852276001	-4.80963869976015	1.39098298736295e-14	3.2771559182271e-11	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"terminase"	PROKKA_00857
PROKKA_00858_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.81987969248366	-3.53051756014725	9.99594671355975e-09	3.53256756857202e-06	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"HK97 family phage portal protein"	PROKKA_00858
PROKKA_00859_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.11064309835371	-4.31883768990594	2.12062809988687e-11	1.66539993444449e-08	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"HK97 family phage prohead protease"	PROKKA_00859
PROKKA_00860_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.65852124441472	-6.31385550506242	3.66530864658825e-16	1.29532007570429e-12	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"HK97 family phage major capsid protein"	PROKKA_00860
PROKKA_00861_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.55030454886854	-5.85757917177975	5.53397419064273e-08	1.50438959921011e-05	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"HeH/LEM domain protein"	PROKKA_00861
PROKKA_00862_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.77532660434581	-3.42315496554957	4.86694081645765e-05	0.00661529570975436	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"phage protein"	PROKKA_00862
PROKKA_00863_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.25219748546154	-4.76407949095119	2.45016746503738e-05	0.00376473557454004	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00863
PROKKA_00864_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.97163529896341	-3.92212441093039	1.64614422562588e-07	3.75320883442701e-05	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00864
PROKKA_00865_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.2620165127245	-4.79661455569379	1.31109579448479e-08	4.41277384543738e-06	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00865
PROKKA_00866_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.4112606356235	-5.31938934067411	1.25427213374322e-11	1.10814943016213e-08	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00866
PROKKA_00867_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.52630734951344	-5.76095244770894	4.42652493963565e-09	1.64666727754446e-06	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00867
PROKKA_00868_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.29501122645119	-4.90757809759288	0.000253240223364882	0.0248597485936526	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00868
PROKKA_00869_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.52195799396336	-5.74361080698548	4.63311118567872e-05	0.00642094703144651	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00869
PROKKA_00870_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.32811097783502	-5.0214742220239	2.27572290248203e-13	4.02120236868575e-10	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"Putative tail length tape measure protein"	PROKKA_00870
PROKKA_00872_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.41546250451402	-5.33490471774255	1.08658694068314e-11	1.09714235667834e-08	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00872
PROKKA_00873_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.78120001981307	-6.87423903980075	9.22409832683758e-08	2.32842596336029e-05	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00873
PROKKA_00874_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.07559804207454	-4.2151911098439	2.13782547586969e-07	4.72192201982717e-05	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00874
PROKKA_00876_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.74462016940007	-3.35106615881776	9.20856633246447e-08	2.32842596336029e-05	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00876
PROKKA_00879_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.04897433332987	-4.13811670509669	3.73135756958798e-06	0.000676236802611483	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00879
PROKKA_00882_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.89553038854302	-3.7205873458239	7.3281558464803e-05	0.00908691324963557	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00882
PROKKA_01281_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.99847998258793	-3.99578783621434	1.98827340833636e-05	0.0012951989141737	n/a	"bacteriophage N4 adsorption protein B"	PROKKA_01281
PROKKA_01285_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.30366907141051	2.46855890532014	0.00011756217801651	0.0134020882938821	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_01285
PROKKA_01291_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.31882736151682	-2.4946326085547	1.548834381051e-07	1.46395218310909e-05	n/a	"hypothetical protein"	PROKKA_01291
PROKKA_01301_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.36938525801358	-5.16720907111171	6.22550927509625e-09	7.06119234367093e-07	n/a	"hypothetical protein"	PROKKA_01301
PROKKA_01423_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.75363614397933	3.37207387724133	1.3073938969128e-07	3.18643450461367e-05	NA	NA	NA	NA	NA	NA	NA	NA	rpmE2	"50S ribosomal protein L31"	PROKKA_01423
PROKKA_01448_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.24833605440201	-2.37567264539204	0.000284953187190326	0.0137361683885097	n/a	"hypothetical protein"	PROKKA_01448
PROKKA_01500_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.10884810515093	-2.15673377866988	0.000352415305036251	0.0164871164699508	bfrB_1	"bacterioferritin"	PROKKA_01500
PROKKA_01505_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.07786886567589	-16.8873244325538	2.81714227612083e-07	2.49174942055789e-05	yfiB_1	"YfiB"	PROKKA_01505
PROKKA_01662_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.3841319009271	-2.61014852188066	0.000353991609716815	0.0164871164699508	n/a	"putative glycosyltransferase"	PROKKA_01662
PROKKA_01664_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.48806912316208	-2.805132899065	1.75305470496019e-08	1.85727477038695e-06	flgM	"FlgM"	PROKKA_01664
PROKKA_01665_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.67071954525531	-3.18373342858803	2.14674518124621e-07	1.95252549928252e-05	flgA	"flagellar basal body P-ring biosynthesis protein FlgA"	PROKKA_01665
PROKKA_01665_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.888027491651884	-1.85064412117176	0.000329598344965506	0.0305285619989815	NA	NA	NA	NA	flgA	"flagellar basal body P-ring biosynthesis protein FlgA"	PROKKA_01665
PROKKA_01666_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.83525135327033	-3.56833571614087	6.46881228500261e-13	1.15492257851315e-10	chpA_5	"component of chemotactic signal transduction system"	PROKKA_01666
PROKKA_01667_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.04608801362937	-2.06492304064299	0.000580510170416052	0.0247641528892971	pilK_4	"methyltransferase PilK"	PROKKA_01667
PROKKA_01675_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.96139351944856	-3.89437960961073	0.000194004315613496	0.00974164378557142	fimV_1	"Motility protein FimV"	PROKKA_01675
PROKKA_01711_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.45917328810057	-2.74950762610506	0.000472783618779861	0.0210930975893435	n/a	"P20"	PROKKA_01711
PROKKA_01712_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.81997455772368	-3.5307497189875	4.10064428752128e-05	0.00245554730285669	n/a	"hypothetical protein"	PROKKA_01712
PROKKA_01754_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.07677592926674	-2.1093170022393	3.33757182604272e-05	0.0049401503119555	NA	NA	NA	NA	n/a	"cspA"	PROKKA_01754
PROKKA_01767_antis	NA	NA	NA	NA	-1.52851227382545	-2.8848819282904	4.40529398674555e-05	0.00905878868347603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bifA_1	"BifA"	PROKKA_01767
PROKKA_01772_antis	NA	NA	NA	NA	-2.68891033389724	-6.44826186836642	0.000160036890649989	0.0245322004558192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	potC_4	"polyamine transport protein PotC"	PROKKA_01772
PROKKA_01780_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.773652502597189	1.70959252203035	0.00114827404580628	0.041851480041227	minE	"cell division topological specificity factor MinE"	PROKKA_01780
PROKKA_01878_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.40232021567496	-5.28652687191247	0.000738986195025803	0.0293403208456673	wbpM_2	"nucleotide sugar epimerase/dehydratase WbpM"	PROKKA_01878
PROKKA_01933_antis	NA	NA	NA	NA	-2.50256620756735	-5.66692538736616	3.32005799752438e-05	0.00823276734621412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	oruR_3	"transcriptional regulator OruR"	PROKKA_01933
PROKKA_01935_sense	NA	NA	NA	NA	-2.20747167401916	-4.61865144292144	1.66888480709794e-10	4.83965681473396e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fadH1_1	"2-4-dienoyl-CoA reductase FadH1"	PROKKA_01935
PROKKA_01964_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.89529581629443	3.71998245319752	1.42913245102166e-07	3.36703605460703e-05	1.8143089509034	3.51691130410711	1.18810090779638e-12	1.03932427189788e-09	1.86238081204664	3.63607211235352	7.48729000672284e-10	9.49802144142302e-08	pelA	"PelA"	PROKKA_01964
PROKKA_01965_sense	NA	NA	NA	NA	NA	NA	NA	NA	1.8707467235946	3.65721824835156	2.69539569032696e-08	7.92230830369492e-06	1.68213714304486	3.20902970228522	7.50310187351192e-10	4.54399392693533e-07	1.48529417399787	2.79974255695311	9.66000320698754e-09	1.08293128975078e-06	pelB	"PelB"	PROKKA_01965
PROKKA_01967_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.53404206719825	5.79192157230628	2.8109589831854e-06	0.000737689335820621	2.35671512305873	5.12202794137403	1.65837116753369e-05	0.00110264527077188	pelD	"PelD"	PROKKA_01967
PROKKA_01968_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.55339663137876	2.93507349934127	0.000118308880024749	0.0133063687490693	1.71383444817985	3.28031520118885	5.32983933506506e-05	0.00309548078490134	pelE	"PelE"	PROKKA_01968
PROKKA_01970_sense	NA	NA	NA	NA	1.24608627174708	2.37197083610831	0.000187115573097115	0.0271995068410652	1.58253647607301	2.99495946281715	5.2062195701256e-06	0.000878881749357323	1.75354639367847	3.37186410648394	6.48605877847144e-08	2.55323703814528e-05	1.78720087085993	3.45144590012694	5.41079564627893e-08	5.54951923678459e-06	pelG	"PelG"	PROKKA_01970
PROKKA_02065_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.10687256266391	-2.15378249427983	0.000129223989449482	0.00703869199029635	fabG_12	"3-oxoacyl-[acyl-carrier-protein] reductase"	PROKKA_02065
PROKKA_02106_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0426257281105	2.05997342826756	0.00039619328334628	0.0354245267152993	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02106
PROKKA_02236_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.26092100599822	-2.39648682072157	0.000868742650368194	0.0335021915687991	aer_1	"aerotaxis receptor Aer"	PROKKA_02236
PROKKA_02384_antis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48530200449797	2.79975775312642	9.4405637621124e-05	0.0111891783167724	NA	NA	NA	NA	infC	"translation initiation factor IF-3"	PROKKA_02384
PROKKA_02393_sense	NA	NA	NA	NA	-0.964606925252106	-1.95153173740219	0.000134929103415573	0.0214639107716358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02393
PROKKA_02402_antis	NA	NA	NA	NA	-2.93762889810876	-7.66151073545005	3.67657939889569e-05	0.00837763267894313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	clpB_3	"ClpB protein"	PROKKA_02402
PROKKA_02474_sense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.39117849730162	-5.2458570598601	1.58723004975051e-07	1.48567814656744e-05	pctC_2	"chemotactic transducer PctC"	PROKKA_02474
PROKKA_02566_antis	-2.73676584761413	-6.66574370549921	5.2029575506171e-10	5.01773226181513e-06	-2.96642657985902	-7.81597893924487	2.97058109136732e-20	2.50449691813179e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"transcriptional regulator LysR family"	PROKKA_02566
PROKKA_02567_sense	NA	NA	NA	NA	-3.10413945064288	-8.59882450350358	3.78189206559605e-05	0.00839082421185272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"XRE family transcriptional regulator"	PROKKA_02567
PROKKA_02568_antis	NA	NA	NA	NA	-1.33098304762658	-2.51574038231655	0.000357894722067487	0.0450359761455371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	catR_4	"transcriptional regulator CatR"	PROKKA_02568
PROKKA_02570_sense	NA	NA	NA	NA	-2.5932793433152	-6.03468866644709	1.72209351728168e-10	4.83965681473396e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lrp_1	"leucine-responsive regulatory protein"	PROKKA_02570
PROKKA_02574_antis	NA	NA	NA	NA	-2.35885598015755	-5.1296343097525	0.000390390443618022	0.0484026739726991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	fdx2_2	"ferredoxin [2Fe-2S]"	PROKKA_02574
PROKKA_02576_antis	NA	NA	NA	NA	-2.34911381399678	-5.09511183806504	2.47217211349935e-05	0.00631602517845848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	kdpB_3	"potassium-transporting ATPase B chain"	PROKKA_02576
PROKKA_02580_antis	NA	NA	NA	NA	-1.29595739110822	-2.45539884843702	0.00020721684820732	0.0281781491489663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	czcA_1	"Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA"	PROKKA_02580
PROKKA_02610_antis	NA	NA	NA	NA	-2.09201225408891	-4.26342315715327	3.97092427128551e-09	4.78269464731545e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02610
PROKKA_02612_antis	-3.08079054656543	-8.46077926643261	3.90010478607587e-06	0.00940315263922893	-3.19857054277688	-9.18048608391289	1.62763467116485e-09	2.74451758251817e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"putative integral membrane protein"	PROKKA_02612
PROKKA_02613_antis	NA	NA	NA	NA	-3.68244972879862	-12.8389002858001	2.31195203434889e-05	0.0060912711254986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"integrating conjugative element protein"	PROKKA_02613
PROKKA_02618_antis	NA	NA	NA	NA	-3.25920437207544	-9.57454793955203	1.99529798355683e-07	0.000168223572993676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	n/a	"conjugative transfer ATPase"	PROKKA_02618
