locus	log2FoldChange_25C	pvalue_25C	log2FoldChange_29C	pvalue_29C	log2FoldChange_33C	pvalue_33C	log2FoldChange_37C	pvalue_37C	log2FoldChange_41C	pvalue_41C	gene	product	locusNumber
PROKKA_00863_sense	NA	NA	NA	NA	-2.25219748546154	2.45016746503738e-05	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00863
PROKKA_00864_sense	NA	NA	NA	NA	-1.97163529896341	1.64614422562588e-07	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00864
PROKKA_00865_sense	NA	NA	NA	NA	-2.2620165127245	1.31109579448479e-08	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00865
PROKKA_00866_sense	NA	NA	NA	NA	-2.4112606356235	1.25427213374322e-11	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00866
PROKKA_00867_sense	NA	NA	NA	NA	-2.52630734951344	4.42652493963565e-09	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00867
PROKKA_00868_sense	NA	NA	NA	NA	-2.29501122645119	0.000253240223364882	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00868
PROKKA_00869_sense	NA	NA	NA	NA	-2.52195799396336	4.63311118567872e-05	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00869
PROKKA_00870_sense	NA	NA	NA	NA	-2.32811097783502	2.27572290248203e-13	NA	NA	NA	NA	n/a	"Putative tail length tape measure protein"	PROKKA_00870
PROKKA_00872_sense	NA	NA	NA	NA	-2.41546250451402	1.08658694068314e-11	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00872
PROKKA_00873_sense	NA	NA	NA	NA	-2.78120001981307	9.22409832683758e-08	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00873
PROKKA_00874_sense	NA	NA	NA	NA	-2.07559804207454	2.13782547586969e-07	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00874
PROKKA_00876_sense	NA	NA	NA	NA	-1.74462016940007	9.20856633246447e-08	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00876
PROKKA_00879_sense	NA	NA	NA	NA	-2.04897433332987	3.73135756958798e-06	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00879
PROKKA_00882_sense	NA	NA	NA	NA	-1.89553038854302	7.3281558464803e-05	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_00882
PROKKA_01201_igtop	NA	NA	NA	NA	1.10377466433491	0.000275864164347022	NA	NA	NA	NA	n/a	"Surface antigen"	PROKKA_01201
PROKKA_01281_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.99847998258793	1.98827340833636e-05	n/a	"bacteriophage N4 adsorption protein B"	PROKKA_01281
PROKKA_01285_sense	NA	NA	NA	NA	1.30366907141051	0.00011756217801651	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_01285
PROKKA_01291_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.11424796071102	0.000137408476702032	n/a	"hypothetical protein"	PROKKA_01291
PROKKA_01291_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.31882736151682	1.548834381051e-07	n/a	"hypothetical protein"	PROKKA_01291
PROKKA_01301_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.80335630498351	0.000283628246599718	n/a	"hypothetical protein"	PROKKA_01301
PROKKA_01301_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.36938525801358	6.22550927509625e-09	n/a	"hypothetical protein"	PROKKA_01301
PROKKA_01332_igbot	NA	NA	NA	NA	1.49977663262478	1.19256697414073e-06	NA	NA	NA	NA	kdpB_2	"potassium-transporting ATPase B chain"	PROKKA_01332
PROKKA_01423_igbot	NA	NA	NA	NA	2.62246523136573	3.18735057399036e-09	NA	NA	NA	NA	rpmE2	"50S ribosomal protein L31"	PROKKA_01423
PROKKA_01423_igtop	NA	NA	NA	NA	1.35381664703624	0.000212455825358436	NA	NA	NA	NA	rpmE2	"50S ribosomal protein L31"	PROKKA_01423
PROKKA_01423_sense	NA	NA	NA	NA	1.75363614397933	1.3073938969128e-07	NA	NA	NA	NA	rpmE2	"50S ribosomal protein L31"	PROKKA_01423
PROKKA_01448_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.24833605440201	0.000284953187190326	n/a	"hypothetical protein"	PROKKA_01448
PROKKA_01500_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.10884810515093	0.000352415305036251	bfrB_1	"bacterioferritin"	PROKKA_01500
PROKKA_01505_sense	NA	NA	NA	NA	NA	NA	NA	NA	-4.07786886567589	2.81714227612083e-07	yfiB_1	"YfiB"	PROKKA_01505
PROKKA_01662_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.3841319009271	0.000353991609716815	n/a	"putative glycosyltransferase"	PROKKA_01662
PROKKA_01664_igbot	NA	NA	NA	NA	NA	NA	NA	NA	-1.41789647047681	0.000161562898011859	flgM	"FlgM"	PROKKA_01664
PROKKA_01664_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.48806912316208	1.75305470496019e-08	flgM	"FlgM"	PROKKA_01664
PROKKA_01665_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.67071954525531	2.14674518124621e-07	flgA	"flagellar basal body P-ring biosynthesis protein FlgA"	PROKKA_01665
PROKKA_01665_sense	NA	NA	NA	NA	NA	NA	-0.888027491651884	0.000329598344965506	NA	NA	flgA	"flagellar basal body P-ring biosynthesis protein FlgA"	PROKKA_01665
PROKKA_01666_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.48881355572419	0.000316914690073426	chpA_5	"component of chemotactic signal transduction system"	PROKKA_01666
PROKKA_01666_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.83525135327033	6.46881228500261e-13	chpA_5	"component of chemotactic signal transduction system"	PROKKA_01666
PROKKA_01667_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.04608801362937	0.000580510170416052	pilK_4	"methyltransferase PilK"	PROKKA_01667
PROKKA_01675_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.33865066539037	1.23534732879838e-05	fimV_1	"Motility protein FimV"	PROKKA_01675
PROKKA_01675_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.96139351944856	0.000194004315613496	fimV_1	"Motility protein FimV"	PROKKA_01675
PROKKA_01711_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.45917328810057	0.000472783618779861	n/a	"P20"	PROKKA_01711
PROKKA_01712_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.81997455772368	4.10064428752128e-05	n/a	"hypothetical protein"	PROKKA_01712
PROKKA_01750_igtop	NA	NA	NA	NA	1.4947279239951	0.000390518799232363	NA	NA	NA	NA	n/a	"putative acetyltransferase"	PROKKA_01750
PROKKA_01754_sense	NA	NA	NA	NA	NA	NA	-1.07677592926674	3.33757182604272e-05	NA	NA	n/a	"cspA"	PROKKA_01754
PROKKA_01756_igbot	NA	NA	NA	NA	NA	NA	-1.10616666589252	2.43981050684968e-05	NA	NA	n/a	"SMR multidrug efflux transporter"	PROKKA_01756
PROKKA_01767_antis	NA	NA	-1.52851227382545	4.40529398674555e-05	NA	NA	NA	NA	NA	NA	bifA_1	"BifA"	PROKKA_01767
PROKKA_01772_antis	NA	NA	-2.68891033389724	0.000160036890649989	NA	NA	NA	NA	NA	NA	potC_4	"polyamine transport protein PotC"	PROKKA_01772
PROKKA_01780_sense	NA	NA	NA	NA	NA	NA	NA	NA	0.773652502597189	0.00114827404580628	minE	"cell division topological specificity factor MinE"	PROKKA_01780
PROKKA_01790_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-2.28709356799318	1.50592432067148e-05	n/a	"putative membrane protein clustering with ActP"	PROKKA_01790
PROKKA_01850_igbot	NA	NA	NA	NA	NA	NA	NA	NA	1.44055501377723	0.00107967089830357	gltS	"glutamate/sodium ion symporter GltS"	PROKKA_01850
PROKKA_01878_antis	NA	NA	NA	NA	NA	NA	NA	NA	-2.40232021567496	0.000738986195025803	wbpM_2	"nucleotide sugar epimerase/dehydratase WbpM"	PROKKA_01878
PROKKA_01933_antis	NA	NA	-2.50256620756735	3.32005799752438e-05	NA	NA	NA	NA	NA	NA	oruR_3	"transcriptional regulator OruR"	PROKKA_01933
PROKKA_01935_sense	NA	NA	-2.20747167401916	1.66888480709794e-10	NA	NA	NA	NA	NA	NA	fadH1_1	"2-4-dienoyl-CoA reductase FadH1"	PROKKA_01935
PROKKA_01964_sense	NA	NA	NA	NA	1.89529581629443	1.42913245102166e-07	1.8143089509034	1.18810090779638e-12	1.86238081204664	7.48729000672284e-10	pelA	"PelA"	PROKKA_01964
PROKKA_01965_sense	NA	NA	NA	NA	1.8707467235946	2.69539569032696e-08	1.68213714304486	7.50310187351192e-10	1.48529417399787	9.66000320698754e-09	pelB	"PelB"	PROKKA_01965
PROKKA_01967_sense	NA	NA	NA	NA	NA	NA	2.53404206719825	2.8109589831854e-06	2.35671512305873	1.65837116753369e-05	pelD	"PelD"	PROKKA_01967
PROKKA_01968_sense	NA	NA	NA	NA	NA	NA	1.55339663137876	0.000118308880024749	1.71383444817985	5.32983933506506e-05	pelE	"PelE"	PROKKA_01968
PROKKA_01970_sense	NA	NA	1.24608627174708	0.000187115573097115	1.58253647607301	5.2062195701256e-06	1.75354639367847	6.48605877847144e-08	1.78720087085993	5.41079564627893e-08	pelG	"PelG"	PROKKA_01970
PROKKA_02065_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.10687256266391	0.000129223989449482	fabG_12	"3-oxoacyl-[acyl-carrier-protein] reductase"	PROKKA_02065
PROKKA_02066_igbot	NA	NA	NA	NA	NA	NA	NA	NA	-2.27007845145276	6.82221562981181e-07	acpP_1	"acyl carrier protein"	PROKKA_02066
PROKKA_02106_antis	NA	NA	NA	NA	NA	NA	1.0426257281105	0.00039619328334628	NA	NA	n/a	"hypothetical protein"	PROKKA_02106
PROKKA_02236_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.26092100599822	0.000868742650368194	aer_1	"aerotaxis receptor Aer"	PROKKA_02236
PROKKA_02384_antis	NA	NA	NA	NA	NA	NA	1.48530200449797	9.4405637621124e-05	NA	NA	infC	"translation initiation factor IF-3"	PROKKA_02384
PROKKA_02385_igtop	NA	NA	NA	NA	NA	NA	NA	NA	0.941129125323695	0.000610878881080103	rpmI	"50S ribosomal protein L35"	PROKKA_02385
PROKKA_02393_sense	NA	NA	-0.964606925252106	0.000134929103415573	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02393
PROKKA_02402_antis	NA	NA	-2.93762889810876	3.67657939889569e-05	NA	NA	NA	NA	NA	NA	clpB_3	"ClpB protein"	PROKKA_02402
PROKKA_02429_igtop	NA	NA	-1.04360721328679	7.77990561369685e-05	NA	NA	NA	NA	NA	NA	n/a	"putative hydrolase"	PROKKA_02429
PROKKA_02469_igtop	NA	NA	NA	NA	NA	NA	NA	NA	1.19316566099443	0.000660257396196805	n/a	"peptidase propeptide and YpeB domain-containing protein"	PROKKA_02469
PROKKA_02474_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.39117849730162	1.58723004975051e-07	pctC_2	"chemotactic transducer PctC"	PROKKA_02474
PROKKA_02476_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-4.73592811087914	1.48028514977513e-09	pctB_2	"chemotactic transducer PctB"	PROKKA_02476
PROKKA_02566_antis	-2.73676584761413	5.2029575506171e-10	-2.96642657985902	2.97058109136732e-20	NA	NA	NA	NA	NA	NA	n/a	"transcriptional regulator LysR family"	PROKKA_02566
PROKKA_02567_sense	NA	NA	-3.10413945064288	3.78189206559605e-05	NA	NA	NA	NA	NA	NA	n/a	"XRE family transcriptional regulator"	PROKKA_02567
PROKKA_02568_antis	NA	NA	-1.33098304762658	0.000357894722067487	NA	NA	NA	NA	NA	NA	catR_4	"transcriptional regulator CatR"	PROKKA_02568
PROKKA_02569_igtop	-3.09265112550224	2.47871213068882e-07	-2.08539887704766	2.22532587615865e-05	NA	NA	NA	NA	NA	NA	hpd_2	"4-hydroxyphenylpyruvate dioxygenase"	PROKKA_02569
PROKKA_02570_sense	NA	NA	-2.5932793433152	1.72209351728168e-10	NA	NA	NA	NA	NA	NA	lrp_1	"leucine-responsive regulatory protein"	PROKKA_02570
PROKKA_02574_antis	NA	NA	-2.35885598015755	0.000390390443618022	NA	NA	NA	NA	NA	NA	fdx2_2	"ferredoxin [2Fe-2S]"	PROKKA_02574
PROKKA_02576_antis	NA	NA	-2.34911381399678	2.47217211349935e-05	NA	NA	NA	NA	NA	NA	kdpB_3	"potassium-transporting ATPase B chain"	PROKKA_02576
PROKKA_02580_antis	NA	NA	-1.29595739110822	0.00020721684820732	NA	NA	NA	NA	NA	NA	czcA_1	"Resistance-Nodulation-Cell Division (RND) divalent metal cation efflux transporter CzcA"	PROKKA_02580
PROKKA_02610_antis	NA	NA	-2.09201225408891	3.97092427128551e-09	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02610
PROKKA_02612_antis	-3.08079054656543	3.90010478607587e-06	-3.19857054277688	1.62763467116485e-09	NA	NA	NA	NA	NA	NA	n/a	"putative integral membrane protein"	PROKKA_02612
PROKKA_02613_antis	NA	NA	-3.68244972879862	2.31195203434889e-05	NA	NA	NA	NA	NA	NA	n/a	"integrating conjugative element protein"	PROKKA_02613
PROKKA_02618_antis	NA	NA	-3.25920437207544	1.99529798355683e-07	NA	NA	NA	NA	NA	NA	n/a	"conjugative transfer ATPase"	PROKKA_02618
PROKKA_02700_igbot	NA	NA	-2.08361030005947	4.58491906943968e-05	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02700
PROKKA_02700_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.27093864324854	0.00086226753452366	n/a	"hypothetical protein"	PROKKA_02700
PROKKA_02715_igtop	NA	NA	-0.827215102652364	0.000102272078409862	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02715
PROKKA_02718_antis	NA	NA	NA	NA	NA	NA	NA	NA	-1.47612595636768	0.00081530089388175	n/a	"hypothetical protein"	PROKKA_02718
PROKKA_02718_igtop	NA	NA	-1.09154822051183	1.80951923139366e-05	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_02718
PROKKA_02737_antis	NA	NA	NA	NA	NA	NA	1.88671660661771	7.20368780624153e-06	NA	NA	n/a	"hypothetical protein"	PROKKA_02737
PROKKA_02737_igbot	NA	NA	NA	NA	NA	NA	1.55168442995109	0.000451586892660378	NA	NA	n/a	"hypothetical protein"	PROKKA_02737
PROKKA_02737_igtop	NA	NA	NA	NA	NA	NA	0.896167989958986	3.1749046530333e-05	NA	NA	n/a	"hypothetical protein"	PROKKA_02737
PROKKA_02758_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.16927365947985	0.000395927983607399	n/a	"tRNA-Leu"	PROKKA_02758
PROKKA_02868_sense	NA	NA	NA	NA	NA	NA	-1.59042944400717	9.52210018066492e-05	-1.50409462714099	0.000299019154091691	cdrB_2	"cyclic diguanylate-regulated TPS partner B CdrB"	PROKKA_02868
PROKKA_02869_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.261275729206	9.56278112450648e-06	n/a	"hemagglutinin"	PROKKA_02869
PROKKA_02870_igbot	NA	NA	NA	NA	NA	NA	1.78328309531332	2.23226244643123e-05	-1.8822387523148	0.000564040514507431	n/a	"transposase-like p;rotein"	PROKKA_02870
PROKKA_02870_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-0.963561618633508	0.000474764254422522	n/a	"transposase-like p;rotein"	PROKKA_02870
PROKKA_02871_sense	NA	NA	NA	NA	1.57260921452644	3.6356532935875e-06	NA	NA	NA	NA	n/a	"filamentous hemagglutinin"	PROKKA_02871
PROKKA_02889_igbot	NA	NA	NA	NA	1.7909414957452	0.000465281271707409	NA	NA	NA	NA	n/a	"Band 7 protein"	PROKKA_02889
PROKKA_03123_sense	NA	NA	-1.36789503737107	9.01138261535474e-06	NA	NA	NA	NA	NA	NA	n/a	"transposase"	PROKKA_03123
PROKKA_03125_sense	NA	NA	-2.25582330050246	8.90877341318519e-07	NA	NA	NA	NA	NA	NA	n/a	"phage tail protein"	PROKKA_03125
PROKKA_03381_igtop	NA	NA	NA	NA	NA	NA	NA	NA	-1.09686306426476	0.000126547195307689	ilvI_2	"acetolactate synthase large subunit"	PROKKA_03381
PROKKA_03451_sense	NA	NA	NA	NA	NA	NA	NA	NA	-1.9732214345202	0.00056272964545776	n/a	"hypothetical protein"	PROKKA_03451
PROKKA_03460_igbot	NA	NA	NA	NA	1.60888880552072	0.000115198725742788	NA	NA	NA	NA	n/a	"putative transporter"	PROKKA_03460
PROKKA_03503_sense	NA	NA	NA	NA	NA	NA	NA	NA	-2.79415634217155	9.49581630002915e-08	n/a	"hypothetical protein"	PROKKA_03503
PROKKA_03522_sense	NA	NA	-1.33599035789803	1.67939617754755e-05	NA	NA	NA	NA	NA	NA	n/a	"hypothetical protein"	PROKKA_03522
PROKKA_03575_sense	NA	NA	NA	NA	NA	NA	1.96135440888919	3.48696640566416e-05	NA	NA	n/a	"hypothetical protein"	PROKKA_03575
PROKKA_03624_antis	-4.96144455299657	1.49790908935857e-05	-2.58678314237011	6.94689073839474e-06	NA	NA	NA	NA	NA	NA	parR_1	"two-component response regulator ParR"	PROKKA_03624
PROKKA_03624_igbot	NA	NA	-3.54142431375506	6.09201987088208e-05	NA	NA	NA	NA	NA	NA	parR_1	"two-component response regulator ParR"	PROKKA_03624
PROKKA_03625_antis	-3.35858991443116	9.99928302161337e-07	-3.3372172401676	8.47808660403582e-10	-4.21624367555081	5.73896232906101e-05	NA	NA	NA	NA	parS_1	"two-component sensor ParS"	PROKKA_03625
PROKKA_03626_antis	NA	NA	-1.89951216528294	0.000106932924399249	NA	NA	NA	NA	NA	NA	n/a	"putative beta-lactamase"	PROKKA_03626
