locus,"	gene", product,locusNumber
PROKKA_00006_antis,"	n/a","  ""D-D-heptose 17-bisphosphate phosphatase""",PROKKA_00006
PROKKA_00007_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00007
PROKKA_00007_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00007
PROKKA_00007_sense,"	n/a","  ""hypothetical protein""",PROKKA_00007
PROKKA_00007_antis,"	n/a","  ""hypothetical protein""",PROKKA_00007
PROKKA_00008_igtop,"	glyS"," ""glycyl-tRNA synthetase beta chain""",PROKKA_00008
PROKKA_00008_igbot,"	glyS"," ""glycyl-tRNA synthetase beta chain""",PROKKA_00008
PROKKA_00008_sense,"	glyS"," ""glycyl-tRNA synthetase beta chain""",PROKKA_00008
PROKKA_00008_antis,"	glyS"," ""glycyl-tRNA synthetase beta chain""",PROKKA_00008
PROKKA_00009_igtop,"	glyQ"," ""glycyl-tRNA synthetase alpha chain""",PROKKA_00009
PROKKA_00009_igbot,"	glyQ"," ""glycyl-tRNA synthetase alpha chain""",PROKKA_00009
PROKKA_00009_sense,"	glyQ"," ""glycyl-tRNA synthetase alpha chain""",PROKKA_00009
PROKKA_00009_antis,"	glyQ"," ""glycyl-tRNA synthetase alpha chain""",PROKKA_00009
PROKKA_00010_igtop,"	tag_1"," ""DNA-3-methyladenine glycosidase I""",PROKKA_00010
PROKKA_00010_igbot,"	tag_1"," ""DNA-3-methyladenine glycosidase I""",PROKKA_00010
PROKKA_00010_sense,"	tag_1"," ""DNA-3-methyladenine glycosidase I""",PROKKA_00010
PROKKA_00010_antis,"	tag_1"," ""DNA-3-methyladenine glycosidase I""",PROKKA_00010
PROKKA_00011_igtop,"	n/a","  ""2-OH-lauroyltransferase""",PROKKA_00011
PROKKA_00011_igbot,"	n/a","  ""2-OH-lauroyltransferase""",PROKKA_00011
PROKKA_00011_sense,"	n/a","  ""2-OH-lauroyltransferase""",PROKKA_00011
PROKKA_00011_antis,"	n/a","  ""2-OH-lauroyltransferase""",PROKKA_00011
PROKKA_00012_igtop,"	n/a","  ""type IV pilus assembly PilZ""",PROKKA_00012
PROKKA_00012_igbot,"	n/a","  ""type IV pilus assembly PilZ""",PROKKA_00012
PROKKA_00012_sense,"	n/a","  ""type IV pilus assembly PilZ""",PROKKA_00012
PROKKA_00012_antis,"	n/a","  ""type IV pilus assembly PilZ""",PROKKA_00012
PROKKA_00013_igtop,"	yhhQ"," ""Inner membrane protein YhhQ""",PROKKA_00013
PROKKA_00013_igbot,"	yhhQ"," ""Inner membrane protein YhhQ""",PROKKA_00013
PROKKA_00013_sense,"	yhhQ"," ""Inner membrane protein YhhQ""",PROKKA_00013
PROKKA_00013_antis,"	yhhQ"," ""Inner membrane protein YhhQ""",PROKKA_00013
PROKKA_00014_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00014
PROKKA_00014_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00014
PROKKA_00014_sense,"	n/a","  ""hypothetical protein""",PROKKA_00014
PROKKA_00014_antis,"	n/a","  ""hypothetical protein""",PROKKA_00014
PROKKA_00015_igtop,"	n/a","  ""putative tetratricopeptide repeat domain protein""",PROKKA_00015
PROKKA_00015_igbot,"	n/a","  ""putative tetratricopeptide repeat domain protein""",PROKKA_00015
PROKKA_00015_sense,"	n/a","  ""putative tetratricopeptide repeat domain protein""",PROKKA_00015
PROKKA_00015_antis,"	n/a","  ""putative tetratricopeptide repeat domain protein""",PROKKA_00015
PROKKA_00016_igtop,"	trkA"," ""potassium uptake protein TrkA""",PROKKA_00016
PROKKA_00016_igbot,"	trkA"," ""potassium uptake protein TrkA""",PROKKA_00016
PROKKA_00016_sense,"	trkA"," ""potassium uptake protein TrkA""",PROKKA_00016
PROKKA_00016_antis,"	trkA"," ""potassium uptake protein TrkA""",PROKKA_00016
PROKKA_00017_igtop,"	n/a","  ""putative tRNA and rRNA cytosine-C5-methylases""",PROKKA_00017
PROKKA_00017_igbot,"	n/a","  ""putative tRNA and rRNA cytosine-C5-methylases""",PROKKA_00017
PROKKA_00017_sense,"	n/a","  ""putative tRNA and rRNA cytosine-C5-methylases""",PROKKA_00017
PROKKA_00017_antis,"	n/a","  ""putative tRNA and rRNA cytosine-C5-methylases""",PROKKA_00017
PROKKA_00018_igtop,"	fmt","  ""methionyl-tRNA formyltransferase""",PROKKA_00018
PROKKA_00018_igbot,"	fmt","  ""methionyl-tRNA formyltransferase""",PROKKA_00018
PROKKA_00018_sense,"	fmt","  ""methionyl-tRNA formyltransferase""",PROKKA_00018
PROKKA_00018_antis,"	fmt","  ""methionyl-tRNA formyltransferase""",PROKKA_00018
PROKKA_00019_igtop,"	def_1"," ""polypeptide deformylase""",PROKKA_00019
PROKKA_00019_igbot,"	def_1"," ""polypeptide deformylase""",PROKKA_00019
PROKKA_00019_sense,"	def_1"," ""polypeptide deformylase""",PROKKA_00019
PROKKA_00019_antis,"	def_1"," ""polypeptide deformylase""",PROKKA_00019
PROKKA_00020_igtop,"	n/a","  ""putative lysin domain protein""",PROKKA_00020
PROKKA_00020_igbot,"	n/a","  ""putative lysin domain protein""",PROKKA_00020
PROKKA_00020_sense,"	n/a","  ""putative lysin domain protein""",PROKKA_00020
PROKKA_00020_antis,"	n/a","  ""putative lysin domain protein""",PROKKA_00020
PROKKA_00021_igtop,"	n/a","  ""putative Rossmann fold nucleotide-binding protein""",PROKKA_00021
PROKKA_00021_igbot,"	n/a","  ""putative Rossmann fold nucleotide-binding protein""",PROKKA_00021
PROKKA_00021_sense,"	n/a","  ""putative Rossmann fold nucleotide-binding protein""",PROKKA_00021
PROKKA_00021_antis,"	n/a","  ""putative Rossmann fold nucleotide-binding protein""",PROKKA_00021
PROKKA_00022_igtop,"	n/a","  ""putative translation factor""",PROKKA_00022
PROKKA_00022_igbot,"	n/a","  ""putative translation factor""",PROKKA_00022
PROKKA_00022_sense,"	n/a","  ""putative translation factor""",PROKKA_00022
PROKKA_00022_antis,"	n/a","  ""putative translation factor""",PROKKA_00022
PROKKA_00023_igtop,"	qor_1"," ""quinone oxidoreductase""",PROKKA_00023
PROKKA_00023_igbot,"	qor_1"," ""quinone oxidoreductase""",PROKKA_00023
PROKKA_00023_sense,"	qor_1"," ""quinone oxidoreductase""",PROKKA_00023
PROKKA_00023_antis,"	qor_1"," ""quinone oxidoreductase""",PROKKA_00023
PROKKA_00024_igtop,"	hemF"," ""coproporphyrinogen III oxidase  aerobic""",PROKKA_00024
PROKKA_00024_igbot,"	hemF"," ""coproporphyrinogen III oxidase  aerobic""",PROKKA_00024
PROKKA_00024_sense,"	hemF"," ""coproporphyrinogen III oxidase  aerobic""",PROKKA_00024
PROKKA_00024_antis,"	hemF"," ""coproporphyrinogen III oxidase  aerobic""",PROKKA_00024
PROKKA_00025_igtop,"	aroE_1"," ""shikimate dehydrogenase""",PROKKA_00025
PROKKA_00025_igbot,"	aroE_1"," ""shikimate dehydrogenase""",PROKKA_00025
PROKKA_00025_sense,"	aroE_1"," ""shikimate dehydrogenase""",PROKKA_00025
PROKKA_00025_antis,"	aroE_1"," ""shikimate dehydrogenase""",PROKKA_00025
PROKKA_00026_igtop,"	plcB"," ""phospholipase C  PlcB""",PROKKA_00026
PROKKA_00026_igbot,"	plcB"," ""phospholipase C  PlcB""",PROKKA_00026
PROKKA_00026_sense,"	plcB"," ""phospholipase C  PlcB""",PROKKA_00026
PROKKA_00026_antis,"	plcB"," ""phospholipase C  PlcB""",PROKKA_00026
PROKKA_00027_igtop,"	n/a","  ""putative peptidyl-prolyl isomerase""",PROKKA_00027
PROKKA_00027_igbot,"	n/a","  ""putative peptidyl-prolyl isomerase""",PROKKA_00027
PROKKA_00027_sense,"	n/a","  ""putative peptidyl-prolyl isomerase""",PROKKA_00027
PROKKA_00027_antis,"	n/a","  ""putative peptidyl-prolyl isomerase""",PROKKA_00027
PROKKA_00028_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00028
PROKKA_00028_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00028
PROKKA_00028_sense,"	n/a","  ""hypothetical protein""",PROKKA_00028
PROKKA_00028_antis,"	n/a","  ""hypothetical protein""",PROKKA_00028
PROKKA_00029_igtop,"	n/a","  ""putative sulfate transporter""",PROKKA_00029
PROKKA_00029_igbot,"	n/a","  ""putative sulfate transporter""",PROKKA_00029
PROKKA_00029_sense,"	n/a","  ""putative sulfate transporter""",PROKKA_00029
PROKKA_00029_antis,"	n/a","  ""putative sulfate transporter""",PROKKA_00029
PROKKA_00030_igtop,"	cbcX_1"," ""CbcX""",PROKKA_00030
PROKKA_00030_igbot,"	cbcX_1"," ""CbcX""",PROKKA_00030
PROKKA_00030_sense,"	cbcX_1"," ""CbcX""",PROKKA_00030
PROKKA_00030_antis,"	cbcX_1"," ""CbcX""",PROKKA_00030
PROKKA_00031_igtop,"	betC_1"," ""choline sulfatase""",PROKKA_00031
PROKKA_00031_igbot,"	betC_1"," ""choline sulfatase""",PROKKA_00031
PROKKA_00031_sense,"	betC_1"," ""choline sulfatase""",PROKKA_00031
PROKKA_00031_antis,"	betC_1"," ""choline sulfatase""",PROKKA_00031
PROKKA_00032_igtop,"	ampR_1"," ""transcriptional regulator AmpR""",PROKKA_00032
PROKKA_00032_igbot,"	ampR_1"," ""transcriptional regulator AmpR""",PROKKA_00032
PROKKA_00032_sense,"	ampR_1"," ""transcriptional regulator AmpR""",PROKKA_00032
PROKKA_00032_antis,"	ampR_1"," ""transcriptional regulator AmpR""",PROKKA_00032
PROKKA_00033_igtop,"	n/a","  ""dioxygenase""",PROKKA_00033
PROKKA_00033_igbot,"	n/a","  ""dioxygenase""",PROKKA_00033
PROKKA_00033_sense,"	n/a","  ""dioxygenase""",PROKKA_00033
PROKKA_00033_antis,"	n/a","  ""dioxygenase""",PROKKA_00033
PROKKA_00034_igtop,"	hptC"," ""Histidine phosphotransfer protein HptC""",PROKKA_00034
PROKKA_00034_igbot,"	hptC"," ""Histidine phosphotransfer protein HptC""",PROKKA_00034
PROKKA_00034_sense,"	hptC"," ""Histidine phosphotransfer protein HptC""",PROKKA_00034
PROKKA_00034_antis,"	hptC"," ""Histidine phosphotransfer protein HptC""",PROKKA_00034
PROKKA_00035_igtop,"	rocA2_1"," ""Two-component response regulator  RocA2""",PROKKA_00035
PROKKA_00035_igbot,"	rocA2_1"," ""Two-component response regulator  RocA2""",PROKKA_00035
PROKKA_00035_sense,"	rocA2_1"," ""Two-component response regulator  RocA2""",PROKKA_00035
PROKKA_00035_antis,"	rocA2_1"," ""Two-component response regulator  RocA2""",PROKKA_00035
PROKKA_00036_igtop,"	trpA"," ""tryptophan synthase alpha chain""",PROKKA_00036
PROKKA_00036_igbot,"	trpA"," ""tryptophan synthase alpha chain""",PROKKA_00036
PROKKA_00036_sense,"	trpA"," ""tryptophan synthase alpha chain""",PROKKA_00036
PROKKA_00036_antis,"	trpA"," ""tryptophan synthase alpha chain""",PROKKA_00036
PROKKA_00037_igtop,"	trpB"," ""tryptophan synthase beta chain""",PROKKA_00037
PROKKA_00037_igbot,"	trpB"," ""tryptophan synthase beta chain""",PROKKA_00037
PROKKA_00037_sense,"	trpB"," ""tryptophan synthase beta chain""",PROKKA_00037
PROKKA_00037_antis,"	trpB"," ""tryptophan synthase beta chain""",PROKKA_00037
PROKKA_00038_igtop,"	trpI_1"," ""transcriptional regulator TrpI""",PROKKA_00038
PROKKA_00038_igbot,"	trpI_1"," ""transcriptional regulator TrpI""",PROKKA_00038
PROKKA_00038_sense,"	trpI_1"," ""transcriptional regulator TrpI""",PROKKA_00038
PROKKA_00038_antis,"	trpI_1"," ""transcriptional regulator TrpI""",PROKKA_00038
PROKKA_00039_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00039
PROKKA_00039_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00039
PROKKA_00039_sense,"	n/a","  ""hypothetical protein""",PROKKA_00039
PROKKA_00039_antis,"	n/a","  ""hypothetical protein""",PROKKA_00039
PROKKA_00040_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00040
PROKKA_00040_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00040
PROKKA_00040_sense,"	n/a","  ""hypothetical protein""",PROKKA_00040
PROKKA_00040_antis,"	n/a","  ""hypothetical protein""",PROKKA_00040
PROKKA_00041_igtop,"	cdrB_1"," ""cyclic diguanylate-regulated TPS partner B  CdrB""",PROKKA_00041
PROKKA_00041_igbot,"	cdrB_1"," ""cyclic diguanylate-regulated TPS partner B  CdrB""",PROKKA_00041
PROKKA_00041_sense,"	cdrB_1"," ""cyclic diguanylate-regulated TPS partner B  CdrB""",PROKKA_00041
PROKKA_00041_antis,"	cdrB_1"," ""cyclic diguanylate-regulated TPS partner B  CdrB""",PROKKA_00041
PROKKA_00042_igtop,"	n/a","  ""putative hemagglutinin""",PROKKA_00042
PROKKA_00042_igbot,"	n/a","  ""putative hemagglutinin""",PROKKA_00042
PROKKA_00042_sense,"	n/a","  ""putative hemagglutinin""",PROKKA_00042
PROKKA_00042_antis,"	n/a","  ""putative hemagglutinin""",PROKKA_00042
PROKKA_00043_igtop,"	n/a","  ""filamentous hemagglutinin""",PROKKA_00043
PROKKA_00043_igbot,"	n/a","  ""filamentous hemagglutinin""",PROKKA_00043
PROKKA_00043_sense,"	n/a","  ""filamentous hemagglutinin""",PROKKA_00043
PROKKA_00043_antis,"	n/a","  ""filamentous hemagglutinin""",PROKKA_00043
PROKKA_00044_igtop,"	n/a","  ""transposase-like protein""",PROKKA_00044
PROKKA_00044_igbot,"	n/a","  ""transposase-like protein""",PROKKA_00044
PROKKA_00044_sense,"	n/a","  ""transposase-like protein""",PROKKA_00044
PROKKA_00044_antis,"	n/a","  ""transposase-like protein""",PROKKA_00044
PROKKA_00045_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00045
PROKKA_00045_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00045
PROKKA_00045_sense,"	n/a","  ""hypothetical protein""",PROKKA_00045
PROKKA_00045_antis,"	n/a","  ""hypothetical protein""",PROKKA_00045
PROKKA_00046_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00046
PROKKA_00046_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00046
PROKKA_00046_sense,"	n/a","  ""hypothetical protein""",PROKKA_00046
PROKKA_00046_antis,"	n/a","  ""hypothetical protein""",PROKKA_00046
PROKKA_00047_igtop,"	n/a","  ""membrane protein""",PROKKA_00047
PROKKA_00047_igbot,"	n/a","  ""membrane protein""",PROKKA_00047
PROKKA_00047_sense,"	n/a","  ""membrane protein""",PROKKA_00047
PROKKA_00047_antis,"	n/a","  ""membrane protein""",PROKKA_00047
PROKKA_00048_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00048
PROKKA_00048_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00048
PROKKA_00048_sense,"	n/a","  ""hypothetical protein""",PROKKA_00048
PROKKA_00048_antis,"	n/a","  ""hypothetical protein""",PROKKA_00048
PROKKA_00049_igtop,"	exoT"," ""exoenzyme T""",PROKKA_00049
PROKKA_00049_igbot,"	exoT"," ""exoenzyme T""",PROKKA_00049
PROKKA_00049_sense,"	exoT"," ""exoenzyme T""",PROKKA_00049
PROKKA_00049_antis,"	exoT"," ""exoenzyme T""",PROKKA_00049
PROKKA_00050_igtop,"	n/a","  ""putative lipoprotein""",PROKKA_00050
PROKKA_00050_igbot,"	n/a","  ""putative lipoprotein""",PROKKA_00050
PROKKA_00050_sense,"	n/a","  ""putative lipoprotein""",PROKKA_00050
PROKKA_00050_antis,"	n/a","  ""putative lipoprotein""",PROKKA_00050
PROKKA_00051_igtop,"	n/a","  ""putative lipoprotein""",PROKKA_00051
PROKKA_00051_igbot,"	n/a","  ""putative lipoprotein""",PROKKA_00051
PROKKA_00051_sense,"	n/a","  ""putative lipoprotein""",PROKKA_00051
PROKKA_00051_antis,"	n/a","  ""putative lipoprotein""",PROKKA_00051
PROKKA_00052_igtop,"	n/a","  ""putative lipoprotein""",PROKKA_00052
PROKKA_00052_igbot,"	n/a","  ""putative lipoprotein""",PROKKA_00052
PROKKA_00052_sense,"	n/a","  ""putative lipoprotein""",PROKKA_00052
PROKKA_00052_antis,"	n/a","  ""putative lipoprotein""",PROKKA_00052
PROKKA_00053_igtop,"	n/a","  ""putative transcriptional regulator""",PROKKA_00053
PROKKA_00053_igbot,"	n/a","  ""putative transcriptional regulator""",PROKKA_00053
PROKKA_00053_sense,"	n/a","  ""putative transcriptional regulator""",PROKKA_00053
PROKKA_00053_antis,"	n/a","  ""putative transcriptional regulator""",PROKKA_00053
PROKKA_00054_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00054
PROKKA_00054_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00054
PROKKA_00054_sense,"	n/a","  ""hypothetical protein""",PROKKA_00054
PROKKA_00054_antis,"	n/a","  ""hypothetical protein""",PROKKA_00054
PROKKA_00055_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00055
PROKKA_00055_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00055
PROKKA_00055_sense,"	n/a","  ""hypothetical protein""",PROKKA_00055
PROKKA_00055_antis,"	n/a","  ""hypothetical protein""",PROKKA_00055
PROKKA_00056_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00056
PROKKA_00056_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00056
PROKKA_00056_sense,"	n/a","  ""hypothetical protein""",PROKKA_00056
PROKKA_00056_antis,"	n/a","  ""hypothetical protein""",PROKKA_00056
PROKKA_00057_igtop,"	phzH_1"," ""potential phenazine-modifying enzyme""",PROKKA_00057
PROKKA_00057_igbot,"	phzH_1"," ""potential phenazine-modifying enzyme""",PROKKA_00057
PROKKA_00057_sense,"	phzH_1"," ""potential phenazine-modifying enzyme""",PROKKA_00057
PROKKA_00057_antis,"	phzH_1"," ""potential phenazine-modifying enzyme""",PROKKA_00057
PROKKA_00058_igtop,"	n/a","  ""putative lipoprotein""",PROKKA_00058
PROKKA_00058_igbot,"	n/a","  ""putative lipoprotein""",PROKKA_00058
PROKKA_00058_sense,"	n/a","  ""putative lipoprotein""",PROKKA_00058
PROKKA_00058_antis,"	n/a","  ""putative lipoprotein""",PROKKA_00058
PROKKA_00059_igtop,"	n/a","  ""RNA 2'-phosphotransferase-like protein""",PROKKA_00059
PROKKA_00059_igbot,"	n/a","  ""RNA 2'-phosphotransferase-like protein""",PROKKA_00059
PROKKA_00059_sense,"	n/a","  ""RNA 2'-phosphotransferase-like protein""",PROKKA_00059
PROKKA_00059_antis,"	n/a","  ""RNA 2'-phosphotransferase-like protein""",PROKKA_00059
PROKKA_00060_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00060
PROKKA_00060_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00060
PROKKA_00060_sense,"	n/a","  ""hypothetical protein""",PROKKA_00060
PROKKA_00060_antis,"	n/a","  ""hypothetical protein""",PROKKA_00060
PROKKA_00061_igtop,"	bexR_1"," ""bistable expression regulator  BexR""",PROKKA_00061
PROKKA_00061_igbot,"	bexR_1"," ""bistable expression regulator  BexR""",PROKKA_00061
PROKKA_00061_sense,"	bexR_1"," ""bistable expression regulator  BexR""",PROKKA_00061
PROKKA_00061_antis,"	bexR_1"," ""bistable expression regulator  BexR""",PROKKA_00061
PROKKA_00062_igtop,"	n/a","  ""putative metallo-beta-lactamase""",PROKKA_00062
PROKKA_00062_igbot,"	n/a","  ""putative metallo-beta-lactamase""",PROKKA_00062
PROKKA_00062_sense,"	n/a","  ""putative metallo-beta-lactamase""",PROKKA_00062
PROKKA_00062_antis,"	n/a","  ""putative metallo-beta-lactamase""",PROKKA_00062
PROKKA_00063_igtop,"	dsbM_1"," ""DsbM""",PROKKA_00063
PROKKA_00063_igbot,"	dsbM_1"," ""DsbM""",PROKKA_00063
PROKKA_00063_sense,"	dsbM_1"," ""DsbM""",PROKKA_00063
PROKKA_00063_antis,"	dsbM_1"," ""DsbM""",PROKKA_00063
PROKKA_00064_igtop,"	osmC"," ""osmotically inducible protein OsmC""",PROKKA_00064
PROKKA_00064_igbot,"	osmC"," ""osmotically inducible protein OsmC""",PROKKA_00064
PROKKA_00064_sense,"	osmC"," ""osmotically inducible protein OsmC""",PROKKA_00064
PROKKA_00064_antis,"	osmC"," ""osmotically inducible protein OsmC""",PROKKA_00064
PROKKA_00065_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00065
PROKKA_00065_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00065
PROKKA_00065_sense,"	n/a","  ""hypothetical protein""",PROKKA_00065
PROKKA_00065_antis,"	n/a","  ""hypothetical protein""",PROKKA_00065
PROKKA_00066_igtop,"	n/a","  ""putative lipoprotein""",PROKKA_00066
PROKKA_00066_igbot,"	n/a","  ""putative lipoprotein""",PROKKA_00066
PROKKA_00066_sense,"	n/a","  ""putative lipoprotein""",PROKKA_00066
PROKKA_00066_antis,"	n/a","  ""putative lipoprotein""",PROKKA_00066
PROKKA_00067_igtop,"	n/a","  ""putative lipoprotein""",PROKKA_00067
PROKKA_00067_igbot,"	n/a","  ""putative lipoprotein""",PROKKA_00067
PROKKA_00067_sense,"	n/a","  ""putative lipoprotein""",PROKKA_00067
PROKKA_00067_antis,"	n/a","  ""putative lipoprotein""",PROKKA_00067
PROKKA_00068_igtop,"	n/a","  ""putative aminopeptidase""",PROKKA_00068
PROKKA_00068_igbot,"	n/a","  ""putative aminopeptidase""",PROKKA_00068
PROKKA_00068_sense,"	n/a","  ""putative aminopeptidase""",PROKKA_00068
PROKKA_00068_antis,"	n/a","  ""putative aminopeptidase""",PROKKA_00068
PROKKA_00069_igtop,"	n/a","  ""hypothetical protein""",PROKKA_00069
PROKKA_00069_igbot,"	n/a","  ""hypothetical protein""",PROKKA_00069
PROKKA_00069_sense,"	n/a","  ""hypothetical protein""",PROKKA_00069
PROKKA_00069_antis,"	n/a","  ""hypothetical protein""",PROKKA_00069
PROKKA_00070_igtop,"	n/a","  ""putative phosphatase""",PROKKA_00070
PROKKA_00070_igbot,"	n/a","  ""putative phosphatase""",PROKKA_00070
PROKKA_00070_sense,"	n/a","  ""putative phosphatase""",PROKKA_00070
PROKKA_00070_antis,"	n/a","  ""putative phosphatase""",PROKKA_00070
PROKKA_00071_igtop,"	n/a","  ""putative carbonic anhydrases""",PROKKA_00071
PROKKA_00071_igbot,"	n/a","  ""putative carbonic anhydrases""",PROKKA_00071
PROKKA_00071_sense,"	n/a","  ""putative carbonic anhydrases""",PROKKA_00071
PROKKA_00071_antis,"	n/a","  ""putative carbonic anhydrases""",PROKKA_00071
PROKKA_00072_igtop,"	prlC"," ""oligopeptidase A""",PROKKA_00072
PROKKA_00072_igbot,"	prlC"," ""oligopeptidase A""",PROKKA_00072
PROKKA_00072_sense,"	prlC"," ""oligopeptidase A""",PROKKA_00072
PROKKA_00072_antis,"	prlC"," ""oligopeptidase A""",PROKKA_00072
PROKKA_00073_igtop,"	n/a","  ""putative nucleic-acid-binding protein""",PROKKA_00073
PROKKA_00073_igbot,"	n/a","  ""putative nucleic-acid-binding protein""",PROKKA_00073
PROKKA_00073_sense,"	n/a","  ""putative nucleic-acid-binding protein""",PROKKA_00073
PROKKA_00073_antis,"	n/a","  ""putative nucleic-acid-binding protein""",PROKKA_00073
PROKKA_00074_igtop,"	n/a","  ""putative DNA repair photolyase""",PROKKA_00074
PROKKA_00074_igbot,"	n/a","  ""putative DNA repair photolyase""",PROKKA_00074
PROKKA_00074_sense,"	n/a","  ""putative DNA repair photolyase""",PROKKA_00074
PROKKA_00074_antis,"	n/a","  ""putative DNA repair photolyase""",PROKKA_00074
PROKKA_00075_igtop,"	tagQ1"," ""TagQ1""",PROKKA_00075
PROKKA_00075_igbot,"	tagQ1"," ""TagQ1""",PROKKA_00075
PROKKA_00075_sense,"	tagQ1"," ""TagQ1""",PROKKA_00075
PROKKA_00075_antis,"	tagQ1"," ""TagQ1""",PROKKA_00075
PROKKA_00076_igtop,"	tagR1"," ""TagR1""",PROKKA_00076
PROKKA_00076_igbot,"	tagR1"," ""TagR1""",PROKKA_00076
PROKKA_00076_sense,"	tagR1"," ""TagR1""",PROKKA_00076
PROKKA_00076_antis,"	tagR1"," ""TagR1""",PROKKA_00076
PROKKA_00077_igtop,"	tagS1"," ""TagS1""",PROKKA_00077
PROKKA_00077_igbot,"	tagS1"," ""TagS1""",PROKKA_00077
PROKKA_00077_sense,"	tagS1"," ""TagS1""",PROKKA_00077
PROKKA_00077_antis,"	tagS1"," ""TagS1""",PROKKA_00077
PROKKA_00078_igtop,"	n/a","  ""tRNA-Ser""",PROKKA_00078
PROKKA_00078_igbot,"	n/a","  ""tRNA-Ser""",PROKKA_00078
PROKKA_00078_sense,"	n/a","  ""tRNA-Ser""",PROKKA_00078
PROKKA_00078_antis,"	n/a","  ""tRNA-Ser""",PROKKA_00078
PROKKA_00079_igtop,"	ppkA_1"," ""serine/threonine protein kinase PpkA""",PROKKA_00079
PROKKA_00079_igbot,"	ppkA_1"," ""serine/threonine protein kinase PpkA""",PROKKA_00079
PROKKA_00079_sense,"	ppkA_1"," ""serine/threonine protein kinase PpkA""",PROKKA_00079
PROKKA_00079_antis,"	ppkA_1"," ""serine/threonine protein kinase PpkA""",PROKKA_00079
PROKKA_00080_igtop,"	pppA"," ""PppA""",PROKKA_00080
PROKKA_00080_igbot,"	pppA"," ""PppA""",PROKKA_00080
PROKKA_00080_sense,"	pppA"," ""PppA""",PROKKA_00080
PROKKA_00080_antis,"	pppA"," ""PppA""",PROKKA_00080
